url,naziv,cijena,lokacija,lat,lng,Kvadrata,Broj soba,Adresa,Godina izgradnje,Primarna orjentacija
https://www.olx.ba/artikal/31413151/hrasno-lijepo-namjesten-dvosoban-stan-45m2/,[IZDAVANJE] Hrasno. Lijepo namješten dvosoban stan 45m2,550 KM,Novo Sarajevo,43.848582,18.383684,45,Dvosoban (2),Trg Heroja,1970-1979,Zapad
https://www.olx.ba/artikal/30834413/nov-moderan-cetverosoban-stan-na-mejtasu-93m2/,[IZDAVANJE] Nov moderan četverosoban stan na Mejtašu - 93m2,1.500 KM,Sarajevo - Centar,43.863174,18.423011,93,Četverosoban (4),Bulbulina,2010+,Jug
https://www.olx.ba/artikal/29571719/dvosoban-stan-marijin-dvor-tepebasina-ul/,[IZDAVANJE] Dvosoban stan - Marijin dvor - Tepebašina ul.,680 KM,Sarajevo - Centar,43.858521,18.411161,49,Dvosoban (2),Tepebašina,1960-1969,Jugozapad
https://www.olx.ba/artikal/28117893/kovacici-trosoban-stan-80m2-iznajmljivanje/,[IZDAVANJE] Kovačići-Trosoban stan-80m2-Iznajmljivanje,PO DOGOVORU,Novo Sarajevo,43.85276,18.404927,80,Trosoban (3),Kovačići,1980-1989,Jugozapad
https://www.olx.ba/artikal/25487506/trosoban-stan-kosevo-iznajmljivanje/,[IZDAVANJE] Trosoban stan-Koševo-Iznajmljivanje,800 KM,Sarajevo - Centar,43.87339,18.413058,80,Trosoban (3),Marcela Šnajdera,2000-2009,Istok
https://www.olx.ba/artikal/30894945/petosoban-stan-centar-ciglane-125-m2-iznajmljivanje/,[IZDAVANJE] Petosoban stan-Centar-Ciglane-125 m2-Iznajmljivanje,PO DOGOVORU,Sarajevo - Centar,43.865016,18.408227,125,Petosoban i više,Avde Hume,1980-1989,
https://www.olx.ba/artikal/28045079/dvosoban-stan-ferhadija-iznajmljivanje/,[IZDAVANJE] Dvosoban stan-Ferhadija-Iznajmljivanje,1.100 KM,Sarajevo - Centar,43.85892,18.426911,80,Dvosoban (2),Vladislava Škarića,Prije 1950,Istok
https://www.olx.ba/artikal/30664838/mejtas-trosoban-stan-sa-garazom-iznajmljivanje/,[IZDAVANJE] Mejtaš-Trosoban stan sa garažom-Iznajmljivanje,1.000 KM,Sarajevo - Centar,43.861674,18.423344,63,Trosoban (3),Nikole Kašikovića,2015+,Jug
https://www.olx.ba/artikal/30899961/trosoban-namjesten-stan-centar-kosevo-65-m2/,[IZDAVANJE] Trosoban namješten stan - Centar - Koševo - 65 m2,600 KM,Sarajevo - Centar,43.873408,18.412347,65,Trosoban (3),Patriotske lige,1970-1979,Sjeverozapad
https://www.olx.ba/artikal/31061871/trosoban-nov-stan-nova-otoka-novogradnja-74-m2/,[IZDAVANJE] Trosoban nov stan - Nova Otoka - Novogradnja - 74 m2,850 KM,"Sarajevo, Novi Grad",43.850208,18.364499,74,Trosoban (3),Džemala Bijedića,Novogradnja,Sjever
https://www.olx.ba/artikal/30732282/kovacici-namjesten-trosoban-stan-75m2-sa-dva-balkona/,[IZDAVANJE] Kovačići. Namješten trosoban stan 75m2 sa dva balkona,600 KM,Novo Sarajevo,43.852172,18.405914,75,Trosoban (3),Ljubljanska,1970-1979,Zapad
https://www.olx.ba/artikal/31216351/dolac-malta-dvosoban-namjesten-stan-58m2-sa-balkonom/,[IZDAVANJE] Dolac Malta. Dvosoban namješten stan 58m2 sa balkonom,450 KM,Novo Sarajevo,43.855793,18.382096,58,Dvosoban (2),Marka Marulića,1980-1989,Jug
https://www.olx.ba/artikal/31056847/marijin-dvor-namjesten-dvoetazni-trosoban-stan-85m2/,[IZDAVANJE] Marijin Dvor. Namješten dvoetažni trosoban stan 85m2,700 KM,Sarajevo - Centar,43.85697,18.406768,85,Trosoban (3),Fra Anđela Zvizdovića,Prije 1950,Zapad
https://www.olx.ba/artikal/31247054/cengic-vila-trosoban-stan-90m2-sa-prostranim-balkonom/,[IZDAVANJE] Čengić Vila. Trosoban stan 90m2 sa prostranim balkonom,700 KM,Novo Sarajevo,43.852915,18.372826,90,Trosoban (3),Nedima Filipovića,2000-2009,Zapad
https://www.olx.ba/artikal/31067136/urban-promet-izdaje-stan-marka-marulica-63-m2/,"[IZDAVANJE] Urban Promet izdaje: Stan, Marka Marulića, 63 m2",650 KM,Novo Sarajevo,43.856807,18.382128,63,Dvosoban (2),Marka Marulića 2A,2010+,Zapad
https://www.olx.ba/artikal/30773767/izdajem-stan/,[IZDAVANJE] Izdajem stan,200 KM,"Sarajevo, Novi Grad",43.853562,18.326062,80,Dvosoban (2),Safeta Zajke,2015+,
